Col_1	Col_2	Col_3	Col_4	Col_5	Col_6	Col_7	Col_8	Col_9	Col_10	Col_11	Col_12	Col_13	Col_14	Col_15	Col_16	Col_17	Col_18	Col_19	Col_20	Col_21	Col_22	Col_23	Col_24	Col_25	Col_26	Col_27	Col_28	Col_29	Col_30	Col_31	Col_32	Col_33	Col_34	Col_35	Col_36	Col_37	Col_38	Col_39	Col_40	Col_41	Col_42	Col_43	Col_44	Col_45	Col_46	Col_47	Col_48	Col_49	Col_50
55	0	88	36	15	9	23	96	77	5	84	27	21	40	67	9	52	16	41	80	82	89	90	14	22	31	32	50	61	40	69	5	80	10	61	8	61	30	97	9	33	51	100	63	67	44	22	30	79	99
72	49	3	22	24	20	4	9	100	78	96	81	88	29	46	61	78	71	6	93	6	95	85	64	58	26	18	12	51	98	81	87	35	68	4	14	45	59	38	1	42	42	12	65	57	99	66	73	23	34
85	59	60	35	73	5	41	87	38	16	47	52	77	3	30	25	3	66	5	47	37	16	76	80	49	34	87	11	12	30	71	14	56	74	99	66	88	20	21	87	42	75	99	0	88	67	6	46	93	77
9	50	45	69	48	74	68	96	72	11	79	67	86	35	95	16	92	69	48	24	20	83	85	21	99	26	72	24	79	15	48	24	75	57	2	42	75	43	6	72	30	78	93	26	82	79	11	88	26	56
94	25	0	23	40	31	10	85	62	76	89	92	51	40	37	50	46	17	5	0	73	90	40	33	39	71	58	45	99	22	68	75	82	77	18	7	78	42	90	67	24	75	57	98	75	38	82	88	36	77
98	52	4	24	81	75	34	36	85	61	90	37	33	19	46	43	85	88	64	0	41	14	6	93	35	17	48	97	61	31	12	5	28	87	13	54	54	85	2	77	83	1	63	54	0	20	63	90	52	14
78	35	9	55	16	86	20	94	30	17	29	11	1	95	49	20	28	83	86	51	31	80	33	63	45	4	76	14	42	16	84	27	17	95	41	3	97	78	28	43	56	28	46	94	33	28	43	40	25	92
56	44	82	42	71	76	22	40	35	98	4	45	33	79	56	94	79	18	34	89	72	99	1	47	77	72	96	77	51	24	17	79	11	8	2	20	33	65	41	57	76	13	50	92	55	6	78	0	70	53
20	27	56	20	63	86	67	98	19	26	26	46	67	79	68	36	8	75	1	23	1	30	33	78	76	18	54	83	20	97	29	42	41	71	29	6	0	96	43	88	61	3	91	97	69	66	24	66	17	77
6	90	7	66	83	43	5	84	25	56	19	48	75	79	29	14	1	93	65	14	68	54	92	18	42	24	1	60	50	59	4	39	6	65	91	83	62	27	72	3	67	87	77	95	34	47	79	7	53	6
83	6	73	20	91	99	19	32	4	10	26	54	96	90	85	3	81	56	43	69	77	5	45	94	96	46	60	26	5	11	90	16	11	8	89	24	42	65	77	10	68	36	3	77	78	44	95	59	3	51
15	72	86	26	81	77	57	47	50	89	25	2	61	75	46	38	88	55	4	51	27	58	9	33	10	10	34	65	24	62	48	14	80	95	52	66	83	28	5	100	59	90	47	85	25	2	7	29	76	11
24	9	45	63	1	23	12	81	63	3	74	21	56	71	55	10	31	58	62	0	41	14	69	31	52	31	63	84	5	97	27	42	49	26	85	24	76	70	55	96	55	100	10	74	12	67	24	47	10	50
87	74	71	24	82	77	69	56	57	15	65	66	98	85	31	30	38	33	43	95	10	65	64	92	14	20	88	41	44	62	59	45	19	74	77	59	46	19	37	33	7	62	100	79	83	85	46	38	43	31
0	86	93	36	31	52	80	51	77	80	35	52	22	65	81	61	92	12	76	31	30	71	78	99	3	20	4	69	61	99	69	95	32	50	80	88	65	20	26	96	4	67	91	39	18	52	88	59	81	31
48	10	94	12	91	46	33	82	48	62	51	85	27	19	84	68	58	50	73	71	94	23	78	2	87	15	26	75	19	73	64	27	70	58	25	7	91	91	47	13	77	57	84	54	78	42	68	41	62	96
75	56	68	94	43	95	80	96	53	88	33	97	20	94	39	34	6	76	38	19	71	67	32	21	36	30	26	24	76	43	96	75	98	92	10	95	0	87	43	33	77	18	86	91	90	6	74	36	28	7
31	80	71	25	54	0	93	54	73	51	27	94	51	90	16	24	46	35	37	84	17	29	93	64	85	52	99	54	58	11	32	17	90	39	31	11	62	7	32	87	94	49	75	59	67	39	81	64	82	10
3	82	9	53	14	9	47	99	27	52	95	12	20	10	0	35	36	7	24	100	22	14	66	24	4	85	15	93	86	74	20	13	46	4	46	74	6	88	67	60	14	66	3	53	17	5	72	9	26	75
38	4	26	44	35	30	63	41	40	37	94	73	100	83	70	77	36	75	93	12	88	62	50	49	26	69	22	49	93	94	60	73	83	77	34	72	1	36	26	69	12	33	55	87	95	56	75	24	52	72
